date,queue,ai_deflection,aht_reduction,productivity_gain
05/01/2026,billing,0,0,0
12/01/2026,billing,0,0,0
19/01/2026,billing,0,0,0
26/01/2026,billing,0,0,0
02/02/2026,billing,0,0,0
09/02/2026,billing,0,0,0
16/02/2026,billing,0,0,0
23/02/2026,billing,0,0,0
02/03/2026,billing,0,0,0
09/03/2026,billing,0,0,0
16/03/2026,billing,0,0,0
23/03/2026,billing,0.7,0,0
30/03/2026,billing,1.3,0,0
06/04/2026,billing,2,0.3,0
13/04/2026,billing,2.6,0.6,0
20/04/2026,billing,3.2,0.9,0.2
27/04/2026,billing,3.9,1.2,0.5
04/05/2026,billing,4.5,1.5,0.8
11/05/2026,billing,5.2,1.8,1
18/05/2026,billing,5.9,2.1,1.2
25/05/2026,billing,6.5,2.4,1.5
01/06/2026,billing,7.2,2.7,1.8
08/06/2026,billing,7.8,3,2
15/06/2026,billing,8.5,3.3,2.2
22/06/2026,billing,9.1,3.6,2.5
29/06/2026,billing,9.8,3.9,2.8
06/07/2026,billing,10.4,4.2,3
13/07/2026,billing,11.1,4.5,3.2
20/07/2026,billing,11.7,4.8,3.5
27/07/2026,billing,12.3,5.1,3.8
03/08/2026,billing,13,5.4,4
10/08/2026,billing,13.7,5.7,4.2
17/08/2026,billing,14.3,6,4.5
24/08/2026,billing,15,6.3,4.8
31/08/2026,billing,15.6,6.6,5
07/09/2026,billing,16.2,6.9,5.2
14/09/2026,billing,16.9,7.2,5.5
21/09/2026,billing,17.6,7.5,5.8
28/09/2026,billing,18.2,7.8,6
05/10/2026,billing,18.9,8.1,6.2
12/10/2026,billing,19.5,8.4,6.5
19/10/2026,billing,20.2,8.7,6.8
26/10/2026,billing,20.8,9,7
02/11/2026,billing,21.4,9.3,7.2
09/11/2026,billing,22.1,9.6,7.5
16/11/2026,billing,22.8,9.9,7.8
23/11/2026,billing,23.4,10.2,8
30/11/2026,billing,23.4,10.5,8.2
07/12/2026,billing,23.4,10.8,8.5
14/12/2026,billing,23.4,11.1,8.8
21/12/2026,billing,23.4,11.4,9
28/12/2026,billing,23.4,11.7,9.2
05/01/2026,sales,0,0,0
12/01/2026,sales,0,0,0
19/01/2026,sales,0,0,0
26/01/2026,sales,0,0,0
02/02/2026,sales,0,0,0
09/02/2026,sales,0,0,0
16/02/2026,sales,0,0,0
23/02/2026,sales,0,0,0
02/03/2026,sales,0,0,0
09/03/2026,sales,0,0,0
16/03/2026,sales,0,0,0
23/03/2026,sales,0.5,0,0
30/03/2026,sales,1,0,0
06/04/2026,sales,1.5,0.3,0
13/04/2026,sales,2,0.6,0
20/04/2026,sales,2.5,0.9,0.2
27/04/2026,sales,3,1.2,0.5
04/05/2026,sales,3.5,1.5,0.8
11/05/2026,sales,4,1.8,1
18/05/2026,sales,4.5,2.1,1.2
25/05/2026,sales,5,2.4,1.5
01/06/2026,sales,5.5,2.7,1.8
08/06/2026,sales,6,3,2
15/06/2026,sales,6.5,3.3,2.2
22/06/2026,sales,7,3.6,2.5
29/06/2026,sales,7.5,3.9,2.8
06/07/2026,sales,8,4.2,3
13/07/2026,sales,8.5,4.5,3.2
20/07/2026,sales,9,4.8,3.5
27/07/2026,sales,9.5,5.1,3.8
03/08/2026,sales,10,5.4,4
10/08/2026,sales,10.5,5.7,4.2
17/08/2026,sales,11,6,4.5
24/08/2026,sales,11.5,6.3,4.8
31/08/2026,sales,12,6.6,5
07/09/2026,sales,12.5,6.9,5.2
14/09/2026,sales,13,7.2,5.5
21/09/2026,sales,13.5,7.5,5.8
28/09/2026,sales,14,7.8,6
05/10/2026,sales,14.5,8.1,6.2
12/10/2026,sales,15,8.4,6.5
19/10/2026,sales,15.5,8.7,6.8
26/10/2026,sales,16,9,7
02/11/2026,sales,16.5,9.3,7.2
09/11/2026,sales,17,9.6,7.5
16/11/2026,sales,17.5,9.9,7.8
23/11/2026,sales,18,10.2,8
30/11/2026,sales,18,10.5,8.2
07/12/2026,sales,18,10.8,8.5
14/12/2026,sales,18,11.1,8.8
21/12/2026,sales,18,11.4,9
28/12/2026,sales,18,11.7,9.2
05/01/2026,retentions,0,0,0
12/01/2026,retentions,0,0,0
19/01/2026,retentions,0,0,0
26/01/2026,retentions,0,0,0
02/02/2026,retentions,0,0,0
09/02/2026,retentions,0,0,0
16/02/2026,retentions,0,0,0
23/02/2026,retentions,0,0,0
02/03/2026,retentions,0,0,0
09/03/2026,retentions,0,0,0
16/03/2026,retentions,0,0,0
23/03/2026,retentions,0.5,0,0
30/03/2026,retentions,1,0,0
06/04/2026,retentions,1.5,0.3,0
13/04/2026,retentions,2,0.6,0
20/04/2026,retentions,2.5,0.9,0.2
27/04/2026,retentions,3,1.2,0.5
04/05/2026,retentions,3.5,1.5,0.8
11/05/2026,retentions,4,1.8,1
18/05/2026,retentions,4.5,2.1,1.2
25/05/2026,retentions,5,2.4,1.5
01/06/2026,retentions,5.5,2.7,1.8
08/06/2026,retentions,6,3,2
15/06/2026,retentions,6.5,3.3,2.2
22/06/2026,retentions,7,3.6,2.5
29/06/2026,retentions,7.5,3.9,2.8
06/07/2026,retentions,8,4.2,3
13/07/2026,retentions,8.5,4.5,3.2
20/07/2026,retentions,9,4.8,3.5
27/07/2026,retentions,9.5,5.1,3.8
03/08/2026,retentions,10,5.4,4
10/08/2026,retentions,10.5,5.7,4.2
17/08/2026,retentions,11,6,4.5
24/08/2026,retentions,11.5,6.3,4.8
31/08/2026,retentions,12,6.6,5
07/09/2026,retentions,12.5,6.9,5.2
14/09/2026,retentions,13,7.2,5.5
21/09/2026,retentions,13.5,7.5,5.8
28/09/2026,retentions,14,7.8,6
05/10/2026,retentions,14.5,8.1,6.2
12/10/2026,retentions,15,8.4,6.5
19/10/2026,retentions,15.5,8.7,6.8
26/10/2026,retentions,16,9,7
02/11/2026,retentions,16.5,9.3,7.2
09/11/2026,retentions,17,9.6,7.5
16/11/2026,retentions,17.5,9.9,7.8
23/11/2026,retentions,18,10.2,8
30/11/2026,retentions,18,10.5,8.2
07/12/2026,retentions,18,10.8,8.5
14/12/2026,retentions,18,11.1,8.8
21/12/2026,retentions,18,11.4,9
28/12/2026,retentions,18,11.7,9.2
05/01/2026,complaints,0,0,0
12/01/2026,complaints,0,0,0
19/01/2026,complaints,0,0,0
26/01/2026,complaints,0,0,0
02/02/2026,complaints,0,0,0
09/02/2026,complaints,0,0,0
16/02/2026,complaints,0,0,0
23/02/2026,complaints,0,0,0
02/03/2026,complaints,0,0,0
09/03/2026,complaints,0,0,0
16/03/2026,complaints,0,0,0
23/03/2026,complaints,0.5,0,0
30/03/2026,complaints,1,0,0
06/04/2026,complaints,1.5,0.3,0
13/04/2026,complaints,2,0.6,0
20/04/2026,complaints,2.5,0.9,0.2
27/04/2026,complaints,3,1.2,0.5
04/05/2026,complaints,3.5,1.5,0.8
11/05/2026,complaints,4,1.8,1
18/05/2026,complaints,4.5,2.1,1.2
25/05/2026,complaints,5,2.4,1.5
01/06/2026,complaints,5.5,2.7,1.8
08/06/2026,complaints,6,3,2
15/06/2026,complaints,6.5,3.3,2.2
22/06/2026,complaints,7,3.6,2.5
29/06/2026,complaints,7.5,3.9,2.8
06/07/2026,complaints,8,4.2,3
13/07/2026,complaints,8.5,4.5,3.2
20/07/2026,complaints,9,4.8,3.5
27/07/2026,complaints,9.5,5.1,3.8
03/08/2026,complaints,10,5.4,4
10/08/2026,complaints,10.5,5.7,4.2
17/08/2026,complaints,11,6,4.5
24/08/2026,complaints,11.5,6.3,4.8
31/08/2026,complaints,12,6.6,5
07/09/2026,complaints,12.5,6.9,5.2
14/09/2026,complaints,13,7.2,5.5
21/09/2026,complaints,13.5,7.5,5.8
28/09/2026,complaints,14,7.8,6
05/10/2026,complaints,14.5,8.1,6.2
12/10/2026,complaints,15,8.4,6.5
19/10/2026,complaints,15.5,8.7,6.8
26/10/2026,complaints,16,9,7
02/11/2026,complaints,16.5,9.3,7.2
09/11/2026,complaints,17,9.6,7.5
16/11/2026,complaints,17.5,9.9,7.8
23/11/2026,complaints,18,10.2,8
30/11/2026,complaints,18,10.5,8.2
07/12/2026,complaints,18,10.8,8.5
14/12/2026,complaints,18,11.1,8.8
21/12/2026,complaints,18,11.4,9
28/12/2026,complaints,18,11.7,9.2
05/01/2026,tech support,0,0,0
12/01/2026,tech support,0,0,0
19/01/2026,tech support,0,0,0
26/01/2026,tech support,0,0,0
02/02/2026,tech support,0,0,0
09/02/2026,tech support,0,0,0
16/02/2026,tech support,0,0,0
23/02/2026,tech support,0,0,0
02/03/2026,tech support,0,0,0
09/03/2026,tech support,0,0,0
16/03/2026,tech support,0,0,0
23/03/2026,tech support,0.5,0,0
30/03/2026,tech support,1,0,0
06/04/2026,tech support,1.5,0.3,0
13/04/2026,tech support,2,0.6,0
20/04/2026,tech support,2.5,0.9,0.2
27/04/2026,tech support,3,1.2,0.5
04/05/2026,tech support,3.5,1.5,0.8
11/05/2026,tech support,4,1.8,1
18/05/2026,tech support,4.5,2.1,1.2
25/05/2026,tech support,5,2.4,1.5
01/06/2026,tech support,5.5,2.7,1.8
08/06/2026,tech support,6,3,2
15/06/2026,tech support,6.5,3.3,2.2
22/06/2026,tech support,7,3.6,2.5
29/06/2026,tech support,7.5,3.9,2.8
06/07/2026,tech support,8,4.2,3
13/07/2026,tech support,8.5,4.5,3.2
20/07/2026,tech support,9,4.8,3.5
27/07/2026,tech support,9.5,5.1,3.8
03/08/2026,tech support,10,5.4,4
10/08/2026,tech support,10.5,5.7,4.2
17/08/2026,tech support,11,6,4.5
24/08/2026,tech support,11.5,6.3,4.8
31/08/2026,tech support,12,6.6,5
07/09/2026,tech support,12.5,6.9,5.2
14/09/2026,tech support,13,7.2,5.5
21/09/2026,tech support,13.5,7.5,5.8
28/09/2026,tech support,14,7.8,6
05/10/2026,tech support,14.5,8.1,6.2
12/10/2026,tech support,15,8.4,6.5
19/10/2026,tech support,15.5,8.7,6.8
26/10/2026,tech support,16,9,7
02/11/2026,tech support,16.5,9.3,7.2
09/11/2026,tech support,17,9.6,7.5
16/11/2026,tech support,17.5,9.9,7.8
23/11/2026,tech support,18,10.2,8
30/11/2026,tech support,18,10.5,8.2
07/12/2026,tech support,18,10.8,8.5
14/12/2026,tech support,18,11.1,8.8
21/12/2026,tech support,18,11.4,9
28/12/2026,tech support,18,11.7,9.2
05/01/2026,webchat,0,0,0
12/01/2026,webchat,0,0,0
19/01/2026,webchat,0,0,0
26/01/2026,webchat,0,0,0
02/02/2026,webchat,0,0,0
09/02/2026,webchat,0,0,0
16/02/2026,webchat,0,0,0
23/02/2026,webchat,0,0,0
02/03/2026,webchat,0,0,0
09/03/2026,webchat,0,0,0
16/03/2026,webchat,0,0,0
23/03/2026,webchat,0.7,0,0
30/03/2026,webchat,1.3,0,0
06/04/2026,webchat,2,0.3,0
13/04/2026,webchat,2.6,0.6,0
20/04/2026,webchat,3.2,0.9,0.2
27/04/2026,webchat,3.9,1.2,0.5
04/05/2026,webchat,4.5,1.5,0.8
11/05/2026,webchat,5.2,1.8,1
18/05/2026,webchat,5.9,2.1,1.2
25/05/2026,webchat,6.5,2.4,1.5
01/06/2026,webchat,7.2,2.7,1.8
08/06/2026,webchat,7.8,3,2
15/06/2026,webchat,8.5,3.3,2.2
22/06/2026,webchat,9.1,3.6,2.5
29/06/2026,webchat,9.8,3.9,2.8
06/07/2026,webchat,10.4,4.2,3
13/07/2026,webchat,11.1,4.5,3.2
20/07/2026,webchat,11.7,4.8,3.5
27/07/2026,webchat,12.3,5.1,3.8
03/08/2026,webchat,13,5.4,4
10/08/2026,webchat,13.7,5.7,4.2
17/08/2026,webchat,14.3,6,4.5
24/08/2026,webchat,15,6.3,4.8
31/08/2026,webchat,15.6,6.6,5
07/09/2026,webchat,16.2,6.9,5.2
14/09/2026,webchat,16.9,7.2,5.5
21/09/2026,webchat,17.6,7.5,5.8
28/09/2026,webchat,18.2,7.8,6
05/10/2026,webchat,18.9,8.1,6.2
12/10/2026,webchat,19.5,8.4,6.5
19/10/2026,webchat,20.2,8.7,6.8
26/10/2026,webchat,20.8,9,7
02/11/2026,webchat,21.4,9.3,7.2
09/11/2026,webchat,22.1,9.6,7.5
16/11/2026,webchat,22.8,9.9,7.8
23/11/2026,webchat,23.4,10.2,8
30/11/2026,webchat,23.4,10.5,8.2
07/12/2026,webchat,23.4,10.8,8.5
14/12/2026,webchat,23.4,11.1,8.8
21/12/2026,webchat,23.4,11.4,9
28/12/2026,webchat,23.4,11.7,9.2
05/01/2026,collections,0,0,0
12/01/2026,collections,0,0,0
19/01/2026,collections,0,0,0
26/01/2026,collections,0,0,0
02/02/2026,collections,0,0,0
09/02/2026,collections,0,0,0
16/02/2026,collections,0,0,0
23/02/2026,collections,0,0,0
02/03/2026,collections,0,0,0
09/03/2026,collections,0,0,0
16/03/2026,collections,0,0,0
23/03/2026,collections,0.5,0,0
30/03/2026,collections,1,0,0
06/04/2026,collections,1.5,0.3,0
13/04/2026,collections,2,0.6,0
20/04/2026,collections,2.5,0.9,0.2
27/04/2026,collections,3,1.2,0.5
04/05/2026,collections,3.5,1.5,0.8
11/05/2026,collections,4,1.8,1
18/05/2026,collections,4.5,2.1,1.2
25/05/2026,collections,5,2.4,1.5
01/06/2026,collections,5.5,2.7,1.8
08/06/2026,collections,6,3,2
15/06/2026,collections,6.5,3.3,2.2
22/06/2026,collections,7,3.6,2.5
29/06/2026,collections,7.5,3.9,2.8
06/07/2026,collections,8,4.2,3
13/07/2026,collections,8.5,4.5,3.2
20/07/2026,collections,9,4.8,3.5
27/07/2026,collections,9.5,5.1,3.8
03/08/2026,collections,10,5.4,4
10/08/2026,collections,10.5,5.7,4.2
17/08/2026,collections,11,6,4.5
24/08/2026,collections,11.5,6.3,4.8
31/08/2026,collections,12,6.6,5
07/09/2026,collections,12.5,6.9,5.2
14/09/2026,collections,13,7.2,5.5
21/09/2026,collections,13.5,7.5,5.8
28/09/2026,collections,14,7.8,6
05/10/2026,collections,14.5,8.1,6.2
12/10/2026,collections,15,8.4,6.5
19/10/2026,collections,15.5,8.7,6.8
26/10/2026,collections,16,9,7
02/11/2026,collections,16.5,9.3,7.2
09/11/2026,collections,17,9.6,7.5
16/11/2026,collections,17.5,9.9,7.8
23/11/2026,collections,18,10.2,8
30/11/2026,collections,18,10.5,8.2
07/12/2026,collections,18,10.8,8.5
14/12/2026,collections,18,11.1,8.8
21/12/2026,collections,18,11.4,9
28/12/2026,collections,18,11.7,9.2